"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4001,29.9,29.9,70.1,"Aarau AG","Aarau (AG)","Aarau AG","Aarau hat die Aargauische Klimaschutzinitiative mit 70,1 Prozent abgelehnt.",,
4002,43.2,43.2,56.8,"Biberstein AG","Biberstein (AG)","Biberstein AG","Nein zur Aargauische Klimaschutzinitiative in Biberstein: 56,8 Prozent haben das Begehren abgelehnt.",,
4003,45.6,45.6,54.4,"Buchs AG","Buchs (AG)","Buchs AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Buchs AG. 54,4 Prozent haben sie verworfen.",,
4004,36.5,36.5,63.5,"Densbüren AG","Densbüren (AG)","Densbüren AG","Densbüren hat die Aargauische Klimaschutzinitiative mit 63,5 Prozent abgelehnt.",,
4005,91.6,91.6,8.4,"Erlinsbach AG","Erlinsbach (AG)","Erlinsbach AG","91,6 Prozent der Stimmbürgerinnen und Stimmbürger von Erlinsbach AG haben der Volksinitiative
""Klimaschutz braucht Initiative!"" zugestimmt.",,
4006,12.9,12.9,87.1,"Gränichen AG","Gränichen (AG)","Gränichen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Gränichen. 87,1 Prozent haben sie verworfen.",,
4007,32.7,32.7,67.3,"Hirschthal AG","Hirschthal (AG)","Hirschthal AG","Hirschthal hat die Aargauische Klimaschutzinitiative mit 67,3 Prozent abgelehnt.",,
4008,41.7,41.7,58.3,"Küttigen AG","Küttigen (AG)","Küttigen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Küttigen. 58,3 Prozent haben sie verworfen.",,
4009,83.2,83.2,16.8,"Muhen AG","Muhen (AG)","Muhen AG","Mit 83,2 Prozent Ja hat sich Muhen für die Aargauische Klimaschutzinitiative ausgesprochen.",,
4010,10.6,10.6,89.4,"Oberentfelden AG","Oberentfelden (AG)","Oberentfelden AG","Oberentfelden hat die Aargauische Klimaschutzinitiative mit 89,4 Prozent abgelehnt.",,
4012,69.4,69.4,30.6,"Suhr AG","Suhr (AG)","Suhr AG","Suhr hat die Aargauische Klimaschutzinitiative mit 69,4 Prozent angenommen.",,
4013,62.3,62.3,37.7,"Unterentfelden AG","Unterentfelden (AG)","Unterentfelden AG","Unterentfelden hat die Aargauische Klimaschutzinitiative mit 62,3 Prozent angenommen.",,
4021,4.2,4.2,95.8,"Baden AG","Baden (AG)","Baden AG","Baden hat die Aargauische Klimaschutzinitiative mit 95,8 Prozent abgelehnt.",,
4022,93.6,93.6,6.4,"Bellikon AG","Bellikon (AG)","Bellikon AG","Mit 93,6 Prozent Ja hat sich Bellikon für die Aargauische Klimaschutzinitiative ausgesprochen.",,
4023,38.2,38.2,61.8,"Bergdietikon AG","Bergdietikon (AG)","Bergdietikon AG","Bergdietikon hat die Aargauische Klimaschutzinitiative mit 61,8 Prozent abgelehnt.",,
4024,71.6,71.6,28.4,"Birmenstorf AG","Birmenstorf (AG)","Birmenstorf AG","71,6 Prozent der Stimmbürgerinnen und Stimmbürger von Birmenstorf AG haben der Volksinitiative
""Klimaschutz braucht Initiative!"" zugestimmt.",,
4026,33.9,33.9,66.1,"Ennetbaden AG","Ennetbaden (AG)","Ennetbaden AG","Nein zur Aargauische Klimaschutzinitiative in Ennetbaden: 66,1 Prozent haben das Begehren abgelehnt.",,
4027,26.9,26.9,73.1,"Fislisbach AG","Fislisbach (AG)","Fislisbach AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Fislisbach. 73,1 Prozent haben sie verworfen.",,
4028,61.8,61.8,38.2,"Freienwil AG","Freienwil (AG)","Freienwil AG","Mit 61,8 Prozent Ja hat sich Freienwil für die Aargauische Klimaschutzinitiative ausgesprochen.",,
4029,28.5,28.5,71.5,"Gebenstorf AG","Gebenstorf (AG)","Gebenstorf AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Gebenstorf. 71,5 Prozent haben sie verworfen.",,
4030,42.4,42.4,57.6,"Killwangen AG","Killwangen (AG)","Killwangen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Killwangen. 57,6 Prozent haben sie verworfen.",,
4031,31,31,69,"Künten AG","Künten (AG)","Künten AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Künten. 69 Prozent haben sie verworfen.",,
4032,52.2,52.2,47.8,"Mägenwil AG","Mägenwil (AG)","Mägenwil AG","Mit 52,2 Prozent Ja hat sich Mägenwil für die Aargauische Klimaschutzinitiative ausgesprochen.",,
