"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,2.8,2.8,97.2,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,,
6602,82.1,82.1,17.9,"Anières GE","Anières (GE)","Anières GE",,,
6603,48.3,48.3,51.7,"Avully GE","Avully (GE)","Avully GE",,,
6604,48.5,48.5,51.5,"Avusy GE","Avusy (GE)","Avusy GE",,,
6605,50.4,50.4,49.6,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,,
6606,48.6,48.6,51.4,"Bellevue GE","Bellevue (GE)","Bellevue GE",,,
6607,49.7,49.7,50.3,"Bernex GE","Bernex (GE)","Bernex GE",,,
6608,85.2,85.2,14.8,"CarouGE","Carouge (GE)","CarouGE GE",,,
6609,56.1,56.1,43.9,"Cartigny GE","Cartigny (GE)","Cartigny GE",,,
6610,52.3,52.3,47.7,"Céligny GE","Céligny (GE)","Céligny GE",,,
6611,32.5,32.5,67.5,"Chancy GE","Chancy (GE)","Chancy GE",,,
6612,53.1,53.1,46.9,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE",,,
6613,28.3,28.3,71.7,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE",,,
6614,6.7,6.7,93.3,"Choulex GE","Choulex (GE)","Choulex GE",,,
6615,14.5,14.5,85.5,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE",,,
6616,52,52,48,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE",,,
6617,34,34,66,"Cologny GE","Cologny (GE)","Cologny GE",,,
6618,25.2,25.2,74.8,"Confignon GE","Confignon (GE)","Confignon GE",,,
6619,52.7,52.7,47.3,"Corsier GE","Corsier (GE)","Corsier GE",,,
6620,46.6,46.6,53.4,"Dardagny GE","Dardagny (GE)","Dardagny GE",,,
6621,11.5,11.5,88.5,"Genf GE","Genève (GE)","Ginevra GE",,,
6622,96.8,96.8,3.2,"Genthod GE","Genthod (GE)","Genthod GE",,,
6623,52.8,52.8,47.2,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","Le Grand-Saconnex GE",,,
6624,52.6,52.6,47.4,"Gy GE","Gy (GE)","Gy GE",,,
6625,4.2,4.2,95.8,"Hermance GE","Hermance (GE)","Hermance GE",,,
6626,37.7,37.7,62.3,"Jussy GE","Jussy (GE)","Jussy GE",,,
6627,90.1,90.1,9.9,"Laconnex GE","Laconnex (GE)","Laconnex GE",,,
6628,57.9,57.9,42.1,"Lancy GE","Lancy (GE)","Lancy GE",,,
6629,71.5,71.5,28.5,"Meinier GE","Meinier (GE)","Meinier GE",,,
6630,72.4,72.4,27.6,"Meyrin GE","Meyrin (GE)","Meyrin GE",,,
6631,21.8,21.8,78.2,"Onex GE","Onex (GE)","Onex GE",,,
6632,67.4,67.4,32.6,"Perly-Certoux GE","Perly-Certoux (GE)","Perly-Certoux GE",,,
6633,58.7,58.7,41.3,"Plan-les-Ouates GE","Plan-les-Ouates (GE)","Plan-les-Ouates GE",,,
6634,52.2,52.2,47.8,"Pregny-Chambésy GE","Pregny-Chambésy (GE)","Pregny-Chambésy GE",,,
6635,25.9,25.9,74.1,"PresinGE","Presinge (GE)","PresinGE",,,
6636,52.4,52.4,47.6,"PuplinGE","Puplinge (GE)","PuplinGE",,,
6637,81.3,81.3,18.7,"Russin GE","Russin (GE)","Russin GE",,,
6638,97,97,3,"Satigny GE","Satigny (GE)","Satigny GE",,,
6639,75.3,75.3,24.7,"Soral GE","Soral (GE)","Soral GE",,,
6640,31.9,31.9,68.1,"Thônex GE","Thônex (GE)","Thônex GE",,,
6641,33.7,33.7,66.3,"Troinex GE","Troinex (GE)","Troinex GE",,,
6642,57.5,57.5,42.5,"Vandoeuvres GE","Vandoeuvres (GE)","Vandoeuvres GE",,,
6643,26.3,26.3,73.7,"Vernier GE","Vernier (GE)","Vernier GE",,,
6644,77.6,77.6,22.4,"Versoix GE","Versoix (GE)","Versoix GE",,,
6645,10.3,10.3,89.7,"Veyrier GE","Veyrier (GE)","Veyrier GE",,,
