"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",96.6,3.4,96.6,159,159,
2,"Bern","Berne","Berna",35.6,64.4,35.6,333,333,
3,"Luzern","Lucerne","Lucerna",85.9,14.1,85.9,80,80,
4,"Uri","Uri","Uri",22.8,77.2,22.8,19,19,
5,"Schwyz","Schwyz","Svitto",45,55,45,30,30,
6,"Obwalden","Obwald","Obvaldo",23.2,76.8,23.2,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",27.4,72.6,27.4,11,11,
8,"Glarus","Glaris","Glarona",46.4,53.6,46.4,3,3,
9,"Zug","Zoug","Zugo",89.5,10.5,89.5,11,11,
10,"Freiburg","Fribourg","Friburgo",68,32,68,126,126,
11,"Solothurn","Soleure","Soletta",47.3,52.7,47.3,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",39.6,60.4,39.6,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",69.1,30.9,69.1,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",83,17,83,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",38.4,61.6,38.4,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",9,91,9,5,5,
17,"St. Gallen","Saint-Gall","San Gallo",58.6,41.4,58.6,74,74,
18,"Graubünden","Grisons","Grigioni",31.9,68.1,31.9,101,101,
19,"Aargau","Argovie","Argovia",99.7,0.3,99.7,197,197,
20,"Thurgau","Thurgovie","Turgovia",21.3,78.7,21.3,80,80,
21,"Tessin","Tessin","Ticino",78.7,21.3,78.7,106,106,
22,"Waadt","Vaud","Vaud",22.2,77.8,22.2,300,300,
23,"Wallis","Valais","Vallese",92.5,7.5,92.5,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",51,49,51,27,27,
25,"Genf","Genève","Ginevra",79.2,20.8,79.2,45,45,
26,"Jura","Jura","Giura",53.7,46.3,53.7,50,50,
